1626093615,1591180424
1690863909,1676804523
1621532288,1724874783
1747200351,1248696482
1868497584,1841958163
1918184579,1893911493
1963250500,1941040080
2001489626,1984016187
1904878512,2021950480
2069693340,2055013850
2095304368,2083126253
2115867624,2105696062
2131333570,2090685947
2141664947,-10340722
2146836865,2144896908
2146836865,2147483647
2141664947,2144896908
2131333570,2137142926
2115867624,2124240371
2095304432,2106220350
2069693340,2083126253
2039358384,2055013722
1986809562,1887732754
1963250500,1984016187
1918184451,1941303248
1868497584,1893977029
1814833503,1837763859
1755750016,2054002851
-454522591,1724875071
1626093615,1660027307
1555325151,1591180424
1480777043,1510111641
1469786862,1979032784
1321199779,1362349203
1236539186,1279254514
1148898639,1192815846
1060587959,1104027236
965532977,1012316783
870249094,918167571
772868705,821806412
673626407,723465451
572761285,623381597
470516330,521795962
367137860,418953276
262874923,315101294
157978697,143381341
52701886,105372028
-52701950,0
-157974601,-105372028
-263137067,-210490205
-367137860,-315101294
-470516332,-418953276
-572761285,-521795962
-673626407,-623381597
-772868705,-723465451
-870249094,-553370956
-965532977,-918167603
-1058490807,-1012314735
-1148882255,-1103896164
-1235490098,-1193077990
-1321199779,-1279254513
-1402677998,-1362349203
-1480777555,-1442161873
-1555308767,-1518762393
-1623996463,-1607957640
-1827178789,-1660027305
-1755750016,-1724875039
-1814309215,-1785575587
-1868432048,-1841433875
-1913990275,-1893911493
-1694815044,206181424
-2003586810,-1984015931
-2039096240,-2021950482
-2069824412,-2055013722
-2095304368,-2016017389
-2115867623,-2106220350
-2131333506,-2124240891
-2141660851,-2137142926
-2146836865,-2146994060
-2146836865,-2147483647
-2141664945,-2144896924
-2131333570,-2137142926
-2115875816,-2124174843
-2095304368,-2106220350
-2069693340,-2083126253
108387408,-2055013754
-2003587036,-2021952530
-1963234244,-1984147259
-1917136003,-1932913616
-1868497584,-1893911493
-1814309215,-2110393619
391734144,-1785567363
-1692928037,-1724875039
-1624012847,-1676673451
-1554260191,-517438600
-1480777027,-2055371033
-1402679022,-1442153617
-1321199779,-1362353299
-1240732978,-1279254514
-1148898639,971182878
-1058490807,-30285412
-965532961,-1012333295
-870119046,-918159379
-772803169,-821282124
-140949799,-723465443
-572761221,-623381593
-470516298,-521795706
-367402052,-418969660
-262874923,-316149870
-166367305,-143381341
-52701757,-105372020
52693758,0
157450313,101177724
263137067,478925661
367137856,315101262
470516328,418951228
572777669,521927034
673626407,623381597
772868705,186594538
870249102,553370892
965533489,918167603
1058523575,1012314735
1148882255,1103896164
1101272370,119336164
1321199779,1279254514
1402679022,1362349203
1480843091,1442686161
1559503071,1485205913
1623996463,-556303224
1692961061,1660027307
1755750016,1188004126
1814309215,1785567395
1868497072,1841958163
1918184579,1894173637
1963250500,1941302224
2137804506,1984016187
2039096224,2021950482
2069694364,2055013722
2095304368,2082601965
2115867624,2139774782
2131333570,-23243265
2141664947,2137143182
2146836865,2144896908
2146705793,2147483647
2133276339,2144896908
2131333570,2137142926
2115867624,2124240891
2095308464,2106253118
2069431196,2081029101
2039096240,1920795994
2003586776,2021950466
1963250628,1984016187
1918176387,1941302224
1868497584,1893911493
1814309215,2110393619
-391733632,1785567363
1692960805,1724875039
1626109999,1659896235
1554260191,1591180424
1480777043,2055371160
1402677998,1442161809
1321199779,1362353299
1236538674,1279254514
1148898639,1176300774
1058490807,30285412
965532977,1012316783
870249094,918167571
772868705,821806412
673626407,723465451
572761285,623381597
470516330,521795962
367137860,418953276
262874923,315101294
157978697,210490205
52701886,105372028
-52701886,0
-157978697,-105372028
-262874923,-210490205
-367137860,-315101294
-470516330,-418953276
-572761285,-521795962
-673626407,-623381597
-772868705,-723465451
-870249094,-821806412
-965532977,-918167571
-1058490807,-1012316783
-1148898639,-1104027236
-1236538674,-1193077990
-1321199779,-1279254514
-1402677998,-1362349203
-1480777043,-1442161873
-1555308767,-1518500249
-1626093615,-1591180424
-1692961061,-1660027307
-1755750016,-1724875039
-1814309215,-1785567395
-1868497584,-1841958163
-1918184579,-1893911493
-1963250500,-1941302224
-2003586778,-1984016187
-2039096240,-2021950482
-2069693340,-2055013722
-2095304368,-2083126253
-2115867624,-2106220350
-2131333570,-2124240379
-2141664947,-2137142926
-2146836865,-2144896908
-2146836865,-2147483647
-2141664947,-2144896908
-2131333570,-2137142926
-2115867624,-2124240379
-2095304368,-2106220350
-2069693340,-2083126253
-2039096240,-2055013722
-2003586778,-2021950482
-1963250500,-1984016187
-1918184579,-1941302224
-1868497584,-1893911493
-1814309215,-1841958163
-1755750016,-1785567395
-1692961061,-1724875039
-1626093615,-1660027307
-1555308767,-1591180424
-1480777043,-1518500249
-1402677998,-1442161873
-1321199779,-1362349203
-1236538674,-1279254514
-1148898639,-1193077990
-1058490807,-1104027236
-965532977,-1012316783
-870249094,-918167571
-772868705,-821806412
-673626407,-723465451
-572761285,-623381597
-470516330,-521795962
-367137860,-418953276
-262874923,-315101294
-157978697,-210490205
-52701886,-105372028
52701886,0
157978697,105372028
262874923,210490205
367137860,315101294
470516330,418953276
572761285,521795962
673626407,623381597
772868705,723465451
870249094,821806412
965532977,918167571
1058490807,1012316783
1148898639,1104027236
1236538674,1193077990
1321199779,1279254514
1402677998,1362349203
1480777043,1442161873
1555308767,1518500249
1626093615,1591180424
1692961061,1660027307
1755750016,1724875039
1814309215,1785567395
1868497584,1841958163
1918184579,1893911493
1963250500,1941302224
2003586778,1984016187
2039096240,2021950482
2069693340,2055013722
2095304368,2083126253
2115867624,2106220350
2131333570,2124240379
2141664947,2137142926
2146836865,2144896908
2146836865,2147483647
2141664947,2144896908
2131333570,2137142926
2115867624,2124240379
2095304368,2106220350
2069693340,2083126253
2039096240,2055013722
2003586778,2021950482
1963250500,1984016187
1918184579,1941302224
1868497584,1893911493
1814309215,1841958163
1755750016,1785567395
1692961061,1724875039
1626093615,1660027307
1555308767,1591180424
1480777043,1518500249
1402677998,1442161873
1321199779,1362349203
1236538674,1279254514
1148898639,1193077990
1058490807,1104027236
2030886195,945207935
870248966,918167571
772868705,821806924
674150695,723465451
539468997,621284445
470516334,521795962
367137860,418951228
262891307,315101294
159035465,202101597
120335038,101177725
-52701886,0
-157978697,-105372028
-262874667,-210752349
-365040708,-331878510
-471564906,-418953276
-639870149,-1058667001
-673626415,-623381533
-772802657,-723461355
-866054790,-822068556
-965532977,-934944791
-1058490807,-2086058605
-1148898655,-1104027364
-1236537650,-1193077990
-1321199779,-1279254514
-1402677998,-1362611347
-1480777043,-1442161873
-1555308767,-1518500249
-1626093631,-1591180296
-1692961061,-1660027307
-1755815552,-1724875039
-1818503519,-1752012963
-2136933040,305525481
-1918184579,-1893911493
-1963250500,-1941302224
-2003586778,-1984016187
-2030707632,-2021950482
-2069693339,-2055013714
-2095304432,-2083126253
-2115863528,-2106253118
-2131333570,-2126337531
-2141664947,-2137142926
-2146836865,-2144896924
-2146836737,-2147483647
-2141664947,-2144962444
-2130809282,-2137142926
-2082313192,-2124240379
52179280,-2106220350
-2069693340,-2083124205
-2039112624,-2055144794
-2004635354,-2013561874
-1896141636,-1984016187
-1918184579,-1941302160
-1868497072,-1893915589
-1814309215,-1842220307
-1753652864,-1785567395
-1827178789,-1724875037
-1626093631,-1660027179
-1555308767,-1591180424
-1480842579,-1518500249
-1402677998,-1475716305
-1589635235,785134441
-1236538674,-1279254514
-1148898639,-1193077990
-1058490807,-1105075812
-957144369,-945207919
-870249094,-918167571
-772868705,-821806412
-673626407,-723465451
-572761285,-623381597
-470516330,-521795962
-367137860,-418953276
-262874923,-315101294
-157978697,-210490205
-52701886,-105372028
52701886,0
157978697,105372028
262874923,210490205
367137860,315101294
470516330,418953276
572761285,521795962
673626407,623381597
772868705,723465451
870249094,821806412
965532977,918167571
1058490807,1012316783
1148898639,1104027236
1236538674,1193077990
1321199779,1279254514
1402677998,1362349203
1480777043,1442161873
1555308767,1518500249
1626093615,1591180424
1692961061,1660027307
1755750016,1724875039
1814309215,1785567395
1868497584,1841958163
1918184579,1893911493
1963250500,1941302224
2003586778,1984016187
2039096240,2021950482
2069693340,2055013722
2095304368,2083126253
2115867624,2106220350
2131333570,2124240379
2141664947,2137142926
2146836865,2144896908
2146836865,2147483647
2141664947,2144896908
2131333570,2137142926
2115867624,2124240379
2095304368,2106220350
2069693340,2083126253
2039096240,2055013722
2003586778,2021950482
1963250500,1984016187
1918184579,1941302224
